ra,dec
37.905964,-4.939411
37.928766,-4.930862
37.89213,-4.928894
37.926321,-4.919633
37.906282,-4.919756
37.876692,-4.92058
37.87414,-4.918918
37.930303,-4.91986
37.916711,-4.918946
37.84873,-4.917423
37.903363,-4.915277
37.916557,-4.912514
37.869819,-4.910083
37.912749,-4.908446
37.892943,-4.903221
37.921645,-4.896183
37.921444,-4.894868
37.930514,-4.896322
37.90763,-4.895344
37.909264,-4.893973
37.909095,-4.897033
37.916426,-4.893831
37.917307,-4.892829
37.880885,-4.894203
37.897536,-4.892812
37.913161,-4.891121
37.910166,-4.888414
37.928768,-4.886885
37.927285,-4.888298
37.92873,-4.884673
37.921574,-4.882613
37.926738,-4.880466
37.923956,-4.873859
37.921103,-4.879125
37.928805,-4.878027
37.918571,-4.883888
37.910012,-4.884915
37.90948,-4.881263
37.892104,-4.880179
37.912614,-4.879127
37.910839,-4.874057
37.931965,-4.866106
37.93126,-4.86835
37.907543,-4.873894
37.883394,-4.870786
37.926575,-4.870224
37.914264,-4.868894
37.91358,-4.86866
37.919478,-4.868397
37.918697,-4.869041
37.926144,-4.866443
37.925051,-4.86359
37.858276,-4.857969
37.918559,-4.849065
37.916959,-4.850767
37.914127,-4.853671
37.91424,-4.853379
37.924396,-4.851324
37.889319,-4.846927
37.916255,-4.843569
37.925928,-4.838682
37.930379,-4.822722
37.915764,-4.819634
37.907673,-4.813165
37.921162,-4.805281
37.902259,-4.788634
37.9928,-4.937173
37.961622,-4.937261
37.967152,-4.929865
37.963707,-4.927298
37.934693,-4.925377
37.992325,-4.912806
37.935069,-4.911491
37.964335,-4.908139
37.955214,-4.90355
37.959017,-4.894665
37.945218,-4.895502
37.991112,-4.890974
37.95153,-4.893009
37.952813,-4.88671
37.950388,-4.88831
37.938795,-4.879303
37.934553,-4.876578
37.943305,-4.879193
37.944273,-4.882937
37.942566,-4.883419
37.962203,-4.885486
37.960921,-4.883389
37.96248,-4.885677
37.960143,-4.872658
37.940338,-4.875668
37.935271,-4.863581
37.937544,-4.868023
37.944456,-4.861055
37.965246,-4.859667
37.983679,-4.858849
37.953982,-4.856587
37.933925,-4.854159
37.949231,-4.853766
37.938665,-4.844401
37.953539,-4.848371
37.949603,-4.843411
38.001124,-4.84379
38.00529,-4.837594
37.934967,-4.817876
37.972872,-4.81268
37.94441,-4.8047
